Tiempo,Partida,Cantidad total de palabras a adivinar,Nombre de evento,Usuarie-nick,Usuarie-genero,Usuarie-edad,Estado,Palabra,nivel,dia
0,1,4,inicio_partida,Juan,Hombre,40,,,NIVEL_1,sabado
768,1,4,intento,Juan,Hombre,40,error,venusaur,NIVEL_1,sabado
901,1,4,intento,Juan,Hombre,40,error,bulbasaur,NIVEL_1,sabado
944,1,4,intento,Juan,Hombre,40,error,ivysaur,NIVEL_1,sabado
1101,1,4,intento,Juan,Hombre,40,error,charmander,NIVEL_1,sabado
1141,1,4,intento,Juan,Hombre,40,error,bulbasaur,NIVEL_1,sabado
1300,1,4,intento,Juan,Hombre,40,ok,bulbasaur,NIVEL_1,sabado
1334,1,4,intento,Juan,Hombre,40,error,ivysaur,NIVEL_1,sabado
1501,1,4,intento,Juan,Hombre,40,ok,ivysaur,NIVEL_1,sabado
1517,1,4,intento,Juan,Hombre,40,error,venusaur,NIVEL_1,sabado
1700,1,4,intento,Juan,Hombre,40,ok,venusaur,NIVEL_1,sabado
1741,1,4,intento,Juan,Hombre,40,error,charmander,NIVEL_1,sabado
1800,1,4,intento,Juan,Hombre,40,ok,charmander,NIVEL_1,sabado
1800,1,4,fin,Juan,Hombre,40,finalizada,,NIVEL_1,sabado
0,2,8,inicio_partida,Juan,Hombre,40,,,NIVEL_2,sabado
146,2,8,intento,Juan,Hombre,40,error,charizard,NIVEL_2,sabado
401,2,8,intento,Juan,Hombre,40,error,squirtle,NIVEL_2,sabado
449,2,8,intento,Juan,Hombre,40,error,bulbasaur,NIVEL_2,sabado
601,2,8,intento,Juan,Hombre,40,error,charmander,NIVEL_2,sabado
669,2,8,intento,Juan,Hombre,40,error,squirtle,NIVEL_2,sabado
801,2,8,intento,Juan,Hombre,40,ok,squirtle,NIVEL_2,sabado
840,2,8,intento,Juan,Hombre,40,error,bulbasaur,NIVEL_2,sabado
1001,2,8,intento,Juan,Hombre,40,error,charizard,NIVEL_2,sabado
1044,2,8,intento,Juan,Hombre,40,error,bulbasaur,NIVEL_2,sabado
1200,2,8,intento,Juan,Hombre,40,ok,bulbasaur,NIVEL_2,sabado
1286,2,8,intento,Juan,Hombre,40,error,ivysaur,NIVEL_2,sabado
1401,2,8,intento,Juan,Hombre,40,error,wartortle,NIVEL_2,sabado
1476,2,8,intento,Juan,Hombre,40,error,ivysaur,NIVEL_2,sabado
1601,2,8,intento,Juan,Hombre,40,ok,ivysaur,NIVEL_2,sabado
1651,2,8,intento,Juan,Hombre,40,error,venusaur,NIVEL_2,sabado
1801,2,8,intento,Juan,Hombre,40,error,wartortle,NIVEL_2,sabado
1880,2,8,intento,Juan,Hombre,40,error,wartortle,NIVEL_2,sabado
2000,2,8,intento,Juan,Hombre,40,ok,wartortle,NIVEL_2,sabado
2059,2,8,intento,Juan,Hombre,40,error,venusaur,NIVEL_2,sabado
2200,2,8,intento,Juan,Hombre,40,ok,venusaur,NIVEL_2,sabado
2225,2,8,intento,Juan,Hombre,40,error,charmander,NIVEL_2,sabado
2400,2,8,intento,Juan,Hombre,40,error,charizard,NIVEL_2,sabado
2400,2,8,intento,Juan,Hombre,40,error,charizard,NIVEL_2,sabado
2500,2,8,intento,Juan,Hombre,40,ok,charizard,NIVEL_2,sabado
2603,2,8,intento,Juan,Hombre,40,error,charmeleon,NIVEL_2,sabado
